vacID,dateID,province,partial,fully,booster
910,70,NU,77083,29021,14519
911,71,BC,11637908,4359500,2721848
912,71,AB,8741621,3392584,1658116
913,71,SK,2447113,912817,495206
914,71,MB,2863534,1108820,593160
915,71,ON,32924140,12176491,7325918
916,71,QC,19961505,7156150,4440015
917,71,NL,1264499,476756,289311
918,71,NB,1747568,659105,389435
919,71,NS,2235685,842600,503257
920,71,PE,378536,143973,81932
921,71,YT,91963,35143,20224
922,71,NT,100831,39525,19911
923,71,NU,77083,29021,14519
924,72,BC,11637908,4359500,2721848
925,72,AB,8772287,3394959,1664080
926,72,SK,2470905,913292,496819
927,72,MB,2863534,1108820,593160
928,72,ON,33056135,12183548,7339963
929,72,QC,20083579,7159832,4453653
930,72,NL,1264499,476756,289311
931,72,NB,1748729,659327,390204
932,72,NS,2235685,842600,503257
933,72,PE,378536,143973,81932
934,72,YT,92155,35206,20312
935,72,NT,101209,39575,20025
936,72,NU,77083,29021,14519
937,73,BC,11721850,4365568,2737325
938,73,AB,8802520,3397198,1669417
939,73,SK,2488443,913769,498339
940,73,MB,2863534,1108820,593160
941,73,ON,33224923,12193332,7357628
942,73,QC,20170094,7163528,4465851
943,73,NL,1264499,476756,289311
944,73,NB,1749707,659540,390860
945,73,NS,2235685,842600,503257
946,73,PE,381692,144157,82321
947,73,YT,92155,35206,20312
948,73,NT,101209,39575,20025
949,73,NU,77083,29021,14519
950,74,BC,11773329,4368237,2743594
951,74,AB,8825042,3407041,1673879
952,74,SK,2500350,914182,499504
953,74,MB,2863534,1108820,593160
954,74,ON,33326680,12199821,7369078
955,74,QC,20227194,7166997,4475981
956,74,NL,1264499,476756,289311
957,74,NB,1750682,659747,391542
958,74,NS,2235685,842600,503257
959,74,PE,384503,144210,82594
960,74,YT,92155,35206,20312
961,74,NT,101864,39615,20138
962,74,NU,77083,29021,14519
963,75,BC,11826489,4371128,2748565
964,75,AB,8847062,3409240,1678592
965,75,SK,2507865,914527,500418
966,75,MB,2863534,1108820,593160
967,75,ON,33421757,12207728,7381250
968,75,QC,20270818,7170342,4484775
969,75,NL,1264499,476756,289311
970,75,NB,1751534,659945,392106
971,75,NS,2235685,842600,503257
972,75,PE,384503,144210,82594
973,75,YT,92155,35206,20312
974,75,NT,101864,39615,20138
975,75,NU,77083,29021,14519
976,76,BC,11883759,4373590,2753669
977,76,AB,8863877,3403562,1682929
978,76,SK,2514106,914913,501331
979,76,MB,2863534,1108820,593160
980,76,ON,33500820,12214746,7391656
981,76,QC,20307324,7173556,4492795
982,76,NL,1264499,476756,289311
983,76,NB,1752632,660200,392840
984,76,NS,2235685,842600,503257
985,76,PE,388281,144353,82925
986,76,YT,92392,35265,20459
987,76,NT,101864,39615,20138
988,76,NU,77083,29021,14519
989,77,BC,11939413,4376269,2759421
990,77,AB,8878391,3405632,1686602
991,77,SK,2519088,915279,502142
992,77,MB,2863534,1108820,593160
993,77,ON,33574138,12221046,7401729
994,77,QC,20341606,7176320,4500074
995,77,NL,1264499,476756,289311
996,77,NB,1753566,660429,393422
997,77,NS,2235685,842600,503257
998,77,PE,388281,144353,82925
999,77,YT,92557,35326,20553
1000,77,NT,101864,39615,20138
1001,77,NU,77083,29021,14519
1002,78,BC,11994569,4378515,2765576
1003,78,AB,8888658,3406934,1689107
1004,78,SK,2523427,915596,502870
1005,78,MB,2863534,1108820,593160
1006,78,ON,33653315,12226562,7411765
1007,78,QC,20371052,7179134,4507152
1008,78,NL,1264499,476756,289311
1009,78,NB,1754412,660626,393948
1010,78,NS,2235685,842600,503257
1011,78,PE,391227,144466,83158
1012,78,YT,92557,35326,20553
1013,78,NT,102863,39663,20278
1014,78,NU,77083,29021,14519
1015,79,BC,11994569,4378515,2765576
1016,79,AB,8888658,3406934,1689107
1017,79,SK,2527074,915908,503457
1018,79,MB,2863534,1108820,593160
1019,79,ON,33716859,12232743,7422174
1020,79,QC,20400295,7181199,4513264
1021,79,NL,1264499,476756,289311
1022,79,NB,1755117,660794,394402
1023,79,NS,2235685,842600,503257
1024,79,PE,391227,144466,83158
1025,79,YT,92557,35326,20553
1026,79,NT,102863,39663,20278
1027,79,NU,77083,29021,14519
1028,80,BC,12074608,4381153,2775252
1029,80,AB,8909619,3409805,1694954
1030,80,SK,2527074,915908,503457
1031,80,MB,2863534,1108820,593160
1032,80,ON,33801699,12238267,7434375
1033,80,QC,20456274,7183896,4522829
1034,80,NL,1264499,476756,289311
1035,80,NB,1755732,660954,394777
1036,80,NS,2235685,842600,503257
1037,80,PE,391227,144466,83158
1038,80,YT,92557,35326,20553
1039,80,NT,102863,39663,20278
1040,80,NU,77083,29021,14519
1041,81,BC,12118797,4383476,2783316
1042,81,AB,8924603,3411394,1698798
1043,81,SK,2527074,915908,503457
1044,81,MB,2863534,1108820,593160
1045,81,ON,33921824,12243774,7447517
1046,81,QC,20532992,7186426,4533429
1047,81,NL,1264499,476756,289311
1048,81,NB,1756308,661075,395140
1049,81,NS,2235685,842600,503257
1050,81,PE,391227,144466,83158
1051,81,YT,92743,35380,20672
1052,81,NT,102863,39663,20278
1053,81,NU,77083,29021,14519
1054,82,BC,12164203,4385202,2790202
