Surrogate Keys,date,prname,province,totalcases,numdeaths,recovery,partial,fully,booster
794,2022-03-05,British Columbia,BC,350329,2903,307963,11361559,4277334,2595400
795,2022-03-05,Alberta,AB,527723,3970,516004,8509282,3358164,1568339
796,2022-03-05,Saskatchewan,SK,129251,1151,113023,2329597,899829,451254
797,2022-03-05,Manitoba,MB,131526,1690,122694,2840311,1099486,581703
798,2022-03-05,Ontario,ON,1129245,12611,1082001,31773683,12032707,7031101
799,2022-03-05,Quebec,QC,927786,13669,895073,18791568,7090456,4220898
800,2022-03-05,Newfoundland and Labrador,NL,26197,69,22829,1258346,474738,285534
801,2022-03-05,New Brunswick,NB,38937,309,34734,1729088,654567,377401
802,2022-03-05,Nova Scotia,NS,46719,207,43018,2217196,831009,503257
803,2022-03-05,Prince Edward Island,PE,16604,16,11896,367300,141226,76663
804,2022-03-05,Yukon,YT,3495,22,3433,90425,34567,19341
805,2022-03-05,Northwest Territories,NT,9107,19,8733,99311,39128,19277
806,2022-03-05,Nunavut,NU,3017,5,2560,74881,27989,13738
807,2022-03-12,British Columbia,BC,352319,2932,307963,11398503,4289912,2616708
808,2022-03-12,Alberta,AB,530967,4006,520213,8528703,3358378,1577337
809,2022-03-12,Saskatchewan,SK,130082,1179,113023,2329597,899829,451254
810,2022-03-12,Manitoba,MB,132681,1710,125913,2847639,1102303,585330
811,2022-03-12,Ontario,ON,1140607,12674,1095221,31867050,12060541,7079357
812,2022-03-12,Quebec,QC,935274,13757,907358,18840328,7103379,4252486
813,2022-03-12,Newfoundland and Labrador,NL,30100,76,25162,1260650,475891,286504
814,2022-03-12,New Brunswick,NB,42320,320,37138,1733241,655731,380040
815,2022-03-12,Nova Scotia,NS,48076,217,43018,2217196,831009,503257
816,2022-03-12,Prince Edward Island,PE,19603,16,13996,369073,141752,77786
817,2022-03-12,Yukon,YT,3562,23,3484,90642,34661,19473
818,2022-03-12,Northwest Territories,NT,9487,20,9131,99311,39128,19277
819,2022-03-12,Nunavut,NU,3262,5,2859,75394,28244,13890
820,2022-03-19,British Columbia,BC,353778,2966,307963,11434211,4303324,2636829
821,2022-03-19,Alberta,AB,534675,4036,523679,8550867,3364574,1589971
822,2022-03-19,Saskatchewan,SK,130977,1211,113023,2329597,899829,451254
823,2022-03-19,Manitoba,MB,133928,1726,127799,2853637,1104825,588188
824,2022-03-19,Ontario,ON,1151936,12738,1107840,31957858,12088054,7126487
825,2022-03-19,Quebec,QC,943732,13832,914755,18882883,7115324,4278990
826,2022-03-19,Newfoundland and Labrador,NL,33834,86,25162,1260650,475891,286504
827,2022-03-19,New Brunswick,NB,45101,336,37808,1734432,656062,380762
828,2022-03-19,Nova Scotia,NS,50534,228,43018,2217196,831009,503257
829,2022-03-19,Prince Edward Island,PE,22151,16,17252,371154,142664,78816
830,2022-03-19,Yukon,YT,3640,23,3544,90932,34793,19616
831,2022-03-19,Northwest Territories,NT,9841,21,9466,99769,39285,19529
832,2022-03-19,Nunavut,NU,3370,5,3007,75945,28510,14086
833,2022-03-26,British Columbia,BC,355299,2983,307963,11468257,4316033,2655809
834,2022-03-26,Alberta,AB,539053,4066,523679,8565479,3368383,1598895
835,2022-03-26,Saskatchewan,SK,132172,1232,113023,2336814,900769,483213
836,2022-03-26,Manitoba,MB,135214,1744,129338,2860118,1107564,591305
837,2022-03-26,Ontario,ON,1166299,12795,1120117,32026035,12106871,7160512
838,2022-03-26,Quebec,QC,957152,13902,922398,18927974,7125604,4307006
839,2022-03-26,Newfoundland and Labrador,NL,36624,100,25162,1264499,476756,289311
840,2022-03-26,New Brunswick,NB,48197,349,40322,1737641,656976,382776
841,2022-03-26,Nova Scotia,NS,53825,241,43018,2217196,831009,503257
842,2022-03-26,Prince Edward Island,PE,24747,17,20035,372378,143061,79554
843,2022-03-26,Yukon,YT,3737,24,3606,91117,34876,19706
844,2022-03-26,Northwest Territories,NT,10374,21,9804,99908,39328,19602
845,2022-03-26,Nunavut,NU,3441,6,3178,76392,28720,14257
846,2022-04-02,British Columbia,BC,357242,3004,307963,11495364,4325534,2671344
847,2022-04-02,Alberta,AB,544254,4098,523679,8586230,3381375,1610588
848,2022-04-02,Saskatchewan,SK,133204,1255,113023,2336814,900769,483213
849,2022-04-02,Manitoba,MB,136573,1751,129338,2863534,1108820,593160
850,2022-04-02,Ontario,ON,1184369,12856,1133514,32084745,12122293,7189977
851,2022-04-02,Quebec,QC,977011,13977,931800,19017481,7135087,4339466
