covidID,dateID,province,totalcases,numdeaths,recovery
1546,119,NT,11511,22,11327
1547,119,NU,3531,7,3435
1548,120,BC,399494,5430,307963
1549,120,AB,631511,5684,523679
1550,120,SK,155190,1959,113023
1551,120,MB,155725,2483,129338
1552,120,ON,1613572,17055,1587996
1553,120,QC,1334563,17924,1099129
1554,120,NL,55209,339,25162
1555,120,NB,90494,877,65138
1556,120,NS,142585,839,43018
1557,120,PE,57183,96,41242
1558,120,YT,4989,32,4489
1559,120,NT,11511,22,11327
1560,120,NU,3531,7,3435
1561,121,BC,400025,5476,307963
1562,121,AB,631894,5703,523679
1563,121,SK,155381,1961,113023
1564,121,MB,155848,2493,129338
1565,121,ON,1615279,17084,1587996
1566,121,QC,1337037,17959,1099129
1567,121,NL,55261,340,25162
1568,121,NB,90574,879,65138
1569,121,NS,142777,841,43018
1570,121,PE,57226,100,41242
1571,121,YT,4989,32,4489
1572,121,NT,11511,22,11327
1573,121,NU,3531,7,3435
1574,122,BC,400660,5520,307963
1575,122,AB,632235,5719,523679
1576,122,SK,155543,1965,113023
1577,122,MB,155944,2499,129338
1578,122,ON,1616798,17106,1587996
1579,122,QC,1339210,17992,1099129
1580,122,NL,55305,340,25162
1581,122,NB,90652,883,65138
1582,122,NS,142941,850,43018
1583,122,PE,57251,103,41242
1584,122,YT,4989,32,4489
1585,122,NT,11511,22,11327
1586,122,NU,3531,7,3435
1587,123,BC,401126,5555,307963
1588,123,AB,632551,5729,523679
1589,123,SK,155685,1970,113023
1590,123,MB,156049,2501,129338
1591,123,ON,1618249,17136,1587996
1592,123,QC,1341159,18018,1099129
1593,123,NL,55360,344,25162
1594,123,NB,90652,883,65138
1595,123,NS,143108,859,43018
1596,123,PE,57251,103,41242
1597,123,YT,4989,32,4489
1598,123,NT,11511,22,11327
1599,123,NU,3531,7,3435
1600,124,BC,401497,5602,307963
1601,124,AB,632848,5744,523679
1602,124,SK,155812,1976,113023
1603,124,MB,156138,2501,129338
1604,124,ON,1619627,17157,1587996
1605,124,QC,1342770,18035,1099129
1606,124,NL,55404,344,25162
1607,124,NB,90652,883,65138
1608,124,NS,143306,864,43018
1609,124,PE,57276,104,41242
1610,124,YT,4989,32,4489
1611,124,NT,11511,22,11327
1612,124,NU,3531,7,3435
1613,125,BC,401814,5652,307963
